Designator,Mid X,Mid Y,Rotation,Layer
C1,77.978,-40.5892,0.0,top
C10,87.7982,-46.4022,270.0,top
C11,86.7822,-46.4022,90.0,top
C12,95.833402,-39.769098,180.0,top
C13,85.546402,-39.769098,0.0,top
C14,89.4492,-47.088,90.0,top
C15,89.4492,-34.6202,270.0,top
C16,94.9806,-45.6257,90.0,top
C17,90.4652,-46.072,90.0,top
C18,88.275,-34.6202,270.0,top
C19,91.1002,-33.3212,0.0,top
C2,81.026,-32.4612,270.0,top
C20,91.6082,-34.8452,270.0,top
C21,98.985,-53.8882,0.0,top
C22,101.219,-45.6692,270.0,top
C23,98.806,-45.6692,0.0,top
C3,77.47,-35.8902,90.0,top
C4,82.931,-39.8272,0.0,top
C5,94.8782,-48.58,270.0,top
C6,81.026,-73.7362,270.0,top
C7,99.1616,-73.7362,270.0,top
C8,72.39,-59.3598,90.0,top
C9,90.424,-59.4614,270.0,top
D1,81.026,-42.2402,270.0,top
J1,77.978,-45.6692,0.0,top
J2,85.476,-39.1522,90.0,bottom
J3,99.2632,-39.8018,90.0,top
LED1,94.673,-58.154,0.0,top
LED2,76.65,-58.154,0.0,top
LED3,76.6064,-75.184,0.0,top
LED4,94.6912,-75.184,0.0,top
R1,73.66,-34.8742,180.0,top
R10,99.314,-48.9712,0.0,top
R11,78.232,-42.2402,180.0,top
R12,94.234,-50.4952,270.0,top
R13,96.139,-50.2412,0.0,top
R14,101.854,-31.193,270.0,top
R15,72.009,-28.575,0.0,top
R16,72.009,-27.432,180.0,top
R17,101.219,-42.672,180.0,top
R2,73.66,-37.7952,180.0,top
R3,78.232,-33.3502,270.0,top
R4,77.49,-38.5692,90.0,top
R5,87.2236,-49.7586,180.0,top
R6,87.2236,-48.5902,180.0,top
R7,85.9028,-38.2778,90.0,top
R8,90.4652,-34.8452,90.0,top
R9,98.3086,-50.1474,180.0,top
U1,80.006,-36.2952,180.0,top
U2,83.627,-37.1902,180.0,top
U3,90.4562,-40.8682,180.0,top
U4,93.1322,-47.5053,180.0,top
U5,87.757,-27.5082,180.0,top
U6,98.973,-51.9254,180.0,top
U7,97.996751,-43.1278,0.0,top
USB1,69.551398,-36.172398,270.0,top
X1,94.3864,-34.0614,0.0,top
